# mu ILP_mean ILP_CI PLAN_mean PLAN_CI
0 180545.000000 12956.538488 181290.000000 12958.431158
50 235369.200000 6930.464046 236487.600000 7217.534041
100 272337.700000 10607.427638 275647.500000 11068.922604
200 322017.900000 28628.236753 323268.900000 29175.790500
300 339709.900000 13454.202996 341033.100000 14075.336610
400 357685.800000 34561.200183 359878.200000 36143.182239
500 355079.300000 35032.298941 355522.900000 35216.749470
