# pm_capacity FF_mean FF_CI PAL_mean PAL_CI
8 2883213.800000 229025.242494 2956061.400000 228480.191418
10 2772889.800000 236532.708375 2854994.800000 246878.291564
15 2732926.600000 226823.502398 2809997.600000 239600.576806
20 2466333.800000 220137.221191 2520564.600000 217563.079890
