# pm_capacity FF_mean FF_CI PAL_mean PAL_CI
8 426.600000 17.895682 668.600000 11.236140
10 364.000000 14.570977 562.800000 11.573169
15 272.100000 10.840798 347.300000 4.864076
20 217.700000 5.013740 250.400000 7.202681
