# vm_pairs FF_mean FF_CI PAL_mean PAL_CI
200 143.900000 6.083572 185.300000 7.025648
500 335.500000 13.876408 462.200000 9.560718
800 526.100000 15.488207 729.800000 9.159797
1000 677.000000 14.563171 909.200000 18.156229
