# mu ILP_mean ILP_CI PLAN_mean PLAN_CI
0 115.300000 9.698005 85.900000 4.961298
50 135.900000 13.687453 118.700000 15.346587
100 136.400000 7.945866 114.600000 8.703999
200 169.100000 11.713082 160.400000 11.740961
300 175.500000 5.949373 173.400000 6.164811
400 178.600000 7.489073 178.300000 7.778444
500 183.200000 2.974448 182.500000 2.983037
