# vm_pairs FF_mean FF_CI PAL_mean PAL_CI
200 999323.600000 56036.924696 1063374.200000 57455.028971
500 2693933.000000 174982.624551 2795817.400000 171499.360658
800 4700467.600000 433290.455683 4828192.200000 462640.227789
1000 5290149.400000 422352.685163 5382270.800000 451980.354374
